audio;sentence;comment;MOS_pred;grade
051_04202_20231005T145517.wav;Jest w stanie wejść aktualnie na II piętro bez dolegliwości bólowych. W dzisiejszym badaniu fizykalnym płuca osłuchowo bez zmian, obrzęki.;osdu- osłuchowo – zająknięcie;3.27495;0
051_04203_20231005T145610.wav;Obturacyjny bezdech senny - postać umiarkowana AHI 21,6. W wywiadzie nadciśnienie tętnicze, otyłość BMI 36,4, astma oskrzelowa.;A-Ha-I;3.2380562;3
051_04204_20231005T145644.wav;Stan po udarze niedokrwiennym w lutym 2022 i po zamknięciu PFO. Pacjentka pierwszorazowa. Nadciśnienie tętnicze rozpoznane od 2017.;;3.199948;3
051_04205_20231005T145716.wav;W pomiarach domowych około 120-130/80. Pacjentka zgłasza wstawanie co 2-3 godziny w ciągu nocy z powodu bezdechów oraz potrzeby oddawania moczu.;;2.9270723;3
051_04206_20231005T145738.wav;Neguje poranną suchość w jamie ustnej, przysypianie w ciągu dnia, objawy trwają od kilku miesięcy.;;2.476094;3
051_04207_20231005T145824.wav;W ABPM z lutego 2023 ciśnienie z doby: 104/64, akcja serca: 88 na minutę. Ciśnienie z dnia: 106/65, akcja serca: 90 na minutę. Ciśnienie z nocy: 97/62, akcja serca: 82 na minutę.;A-Be-Pe-Em;2.9349635;3
051_04208_20231005T145904.wav;Nadciśnienie od 2022 roku. W pomiarach domowych 120-130/70-80. W gabinecie ciśnienie: ABPM ze stycznia 2023 - z doby i dnia 118/74, akcja serca: 76 na minutę.;zająknięcie;2.89462;0
051_04209_20231005T145940.wav;Wizyta pierwszorazowa. Do obciążeń należą nadciśnienie tętnicze oraz niedoczynność tarczycy w przebiegu choroby Hashimoto.;;2.937121;3
051_04210_20231005T150000.wav;Pacjenta wypisano. Następna wizyta za 6 miesięcy. Nadciśnienie tętnicze, niedostateczna kontrola przez lata.;;3.6320193;3
051_04211_20231005T150015.wav;Stan po urazie czaszki po upadku, prawdopodobnie z powodu hipotonii ortostatycznej.;;3.0033636;3
051_04212_20231005T150043.wav;W wywiadzie autoimmunologiczne zapalenie tarczycy, astma oskrzelowa, cukrzyca typu drugiego i tachykardia zatokowa, poza tym endometrioza i hipercholesterolemia. Stan po usunięciu torbieli jajnika w 2010 roku.;;2.5778687;3
051_04213_20231005T150100.wav;Nadciśnienie tętnicze rozpoznane od 2022. W pomiarach domowych około 125/80.;;3.2937813;3
051_04214_20231005T150124.wav;W wywiadzie od 5 lat bezsenność nie reagująca na leczenie, sen nierestoratywny. Poranne bóle głowy, suchość w jamie ustnej, problemy z koncentracją. Rodzina zgłasza chrapanie u pacjentki.;;3.1552029;3
051_04215_20231005T150148.wav;Podejrzenie obturacyjnego bezdechu sennego, zmęczenie po przebudzeniu, w nocy bezdechy i chrapanie. W gabinecie ciśnienie w zakresie od 136/84 do 120/74.;;2.9499185;3
051_04216_20231005T150204.wav;Zespół kanału nadgarstka lewego - stan po leczeniu operacyjnym. Stan po resekcji tarczycy z powodu choroby Hashimoto.;;3.508891;3
051_04217_20231005T150222.wav;Ciśnienie w pomiarach domowych około 130/80. Pacjentka zgłasza chrapanie w ciągu nocy, bezdechy senne oraz bóle głowy rano.;;2.1148517;3
051_04218_20231005T150240.wav;Nadciśnienie od 2020 roku. Wywiad rodzinny nieistotny, papierosów nie pali. Zgłasza szybkie męczenie się, neguje ból w klatce piersiowej.;;2.3844156;2
051_04219_20231005T150309.wav;Ciśnienie z dnia 121/53, akcja serca 64 na minutę. Ciśnienie z nocy 114/52, akcja serca 63 na minutę. Obciążenia nadciśnienie tętnicze, otyłość. Pacjent ma 75 lat. Nadciśnienie tętnicze rozpoznane 14 lat temu.;;2.6512024;3
051_04220_20231005T150327.wav;Okresowo w pomiarach domowych zwyżki tętna do 160-170. Był to raczej błąd techniczny aparatu.;;2.5939426;3
051_04221_20231005T150347.wav;W 2010 roku wykonywana była koronarografia. Według chorego stan po PCI, angioplastyka wieńcowa, cukrzyca typu drugiego.;;3.1376514;3
051_04222_20231005T150408.wav;W zakresie wykonywanego wysiłku, bez stenokardii, bez duszności, neguje kołatania serca. Porusza się o kuli z powodu choroby zwyrodnieniowej kręgosłupa. Zgłasza chromanie i obrzęki.;;2.9733925;3
051_04223_20231005T150432.wav;Insulinoterapia, z powodu niskiego HbA1c diabetolog zmniejszył dawkę insuliny. Glukoza maksymalnie do 120, po jedzeniu maksymalnie 160-170 miligramów na decylitr.;;3.782975;3
051_04224_20231005T150449.wav;Choroby nerek oraz choroby tarczycy. Pacjent nie palił przez 15 lat, teraz ponownie pali kilka paczek papierosów dziennie. Choroba wrzodowa żołądka.;;2.2287369;3
051_04225_20231005T150503.wav;Badanie dna oka - według chorego bez retinopatii. Chrapanie, pojedynczy przypadek nykturii.;;3.1059222;3
051_04226_20231005T150530.wav;"W badaniu laboratoryjnym hemoglobina wynosiła 13,8; płytki 225; leukocyty 12; neutrocyty 7,8; hemoglobina A1C 6,3; glukoza 65.";;3.24929;3
051_04227_20231005T150555.wav;"W proteinogramie bez pasma dodatkowego, kreatynina 1,58; GFR 43; BUN 30. Zaznaczony efekt białego fartucha, ciśnienie gabinetowe 148/70.";;3.842843;3
051_04228_20231005T150612.wav;W badaniu fizykalnym pacjent w stanie ogólnym dobrym, akcja serca miarowa 88 na minutę, płuca - trzeszczenia przypodstawnie.;trzeszczenie;3.7392356;0
051_04229_20231005T150635.wav;Przepuklina kresy białej, wątroba niepowiększona. Kończyny dolne bez obrzęków, stopy chłodne, bez cech ostrego niedokrwienia, tętno czuję jedynie słabo na tętnicach udowych. Nie słyszę szmeru nad tętnicami szyjnymi.;;2.67682;3
051_04230_20231005T150652.wav;Echo serca i doppler tętnic szyjnych, hospitalizacja w kierunku obturacyjnego bezdechu sennego. Skierowanie na USG jamy brzusznej.;;2.4923434;2
051_04231_20231005T150708.wav;Uprzejmie proszę o skierowanie od lekarza POZ, w planach USG doppler tętnic kończyn dolnych, holter EKG.;;2.7942276;3
051_04232_20231005T150724.wav;Nadciśnienie tętnicze, przewlekła choroba nerek, cukrzyca typu drugiego. Przewlekłe niedokrwienie kończyn dolnych, stan po PCI.;;3.2680023;3
051_04233_20231005T150746.wav;Insulinoterapia, z powodu niskiej hemoglobiny A1c diabetolog zmniejszył dawkę insuliny. Glukoza maksymalnie do 120, po jedzeniu maksymalnie 160-170 miligramów na decylitr.;;2.7840617;3
